neighbourhood,price,number_of_reviews,reviews_per_month,availability_365,airbnb_counts_per_neighbourhood,total_reviews_per_neighbourhood,neighirhood_cluster,number_of_crimes,crime_rate,,,
"Brightwood Park, Crestwood, Petworth",197.4959569,18.393531,1.399622642,150.3773585,371,6824,Cluster 18,1411,4.314456947,,0.975839305,
"Brookland, Brentwood, Langdon",149.5263158,20.19548872,1.55518797,163.1203008,133,2686,Cluster 22,1244,3.803816047,,0.778749164,number_of_crimes vs. airbnb_counts_per_neighbourhood
"Capitol Hill, Lincoln Park",334.1200586,25.68814056,1.702181552,135.4978038,683,17545,Cluster 26,1461,4.467343444,,0.721790278,number_of_crimes vs. total reviews
"Capitol View, Marshall Heights, Benning Heights",111.7719298,12.68421053,1.219122807,229.0175439,57,723,Cluster 33,923,2.822284736,,,
"Cathedral Heights, McLean Gardens, Glover Park",228.739726,9.897260274,0.803424658,108.2465753,146,1445,Cluster 14,235,0.718566536,,0.059330423,
"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",255.0737705,16.29508197,1.280655738,128.9836066,122,1988,Cluster 15,328,1.002935421,,-0.195270503,
"Colonial Village, Shepherd Park, North Portal Estates",221.8297872,7.893617021,0.76106383,213.4893617,47,371,Cluster 16,150,0.458659491,,,
"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",188.5822943,18.73316708,1.370137157,130.1795511,802,15024,Cluster 2,2654,8.115215264,,0.227358736,number_of_crimes vs. price
"Congress Heights, Bellevue, Washington Highlands",213.4,14.65714286,1.246857143,118.8571429,35,513,Cluster 39,1284,3.926125245,,,
"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",132.5238095,6.857142857,1.744285714,135.2857143,21,144,Cluster 31,950,2.904843444,,,
"Douglas, Shipley Terrace",196.2,29.15,1.2795,248.15,20,583,Cluster 38,568,1.736790607,,,
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",350.4857768,15.00656455,1.037417943,165.8205689,457,6858,Cluster 8,2307,7.054182975,,,
"Dupont Circle, Connecticut Avenue,K Street",245.2495512,22.92100539,1.389748654,125.3770197,557,12767,Cluster 6,1605,4.907656556,,,
"Eastland Gardens, Kenilworth",67.55555556,75,3.008888889,132,9,675,Cluster 29,77,0.235445205,,,
"Edgewood, Bloomingdale, Truxton Circle, Eckington",194.2294776,27.00746269,1.999160448,140.7966418,536,14476,Cluster 21,1103,3.372676125,,,
"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",152.0555556,5.055555556,0.493333333,183.8888889,18,91,Cluster 35,377,1.152764188,,,
"Friendship Heights, American University Park, Tenleytown",225.6338028,19.4084507,1.219859155,147.7042254,71,1378,Cluster 11,508,1.55332681,,,
"Georgetown, Burleith,Hillandale",269.1434978,17.52914798,1.43735426,159.0538117,223,3909,Cluster 4,1064,3.253424658,,,
"Hawthorne, Barnaby Woods, Chevy Chase",224.8431373,15.41176471,1.039019608,183.9607843,51,786,Cluster 10,256,0.782778865,,,
Historic Anacostia,83.70833333,26.41666667,1.747291667,195.9375,48,1268,Cluster 28,378,1.155821918,,,
"Howard University, Le Droit Park, Cardozo,Shaw",263.7971429,17.55714286,1.553971429,137.1257143,350,6145,Cluster 3,1459,4.461227984,,,
"Ivy City, Arboretum, Trinidad, Carver Langston",187.3390805,18.86206897,1.834137931,129.0977011,174,3282,Cluster 23,1403,4.289995108,,,
"Kalorama Heights, Adams Morgan, Lanier Heights",217.7264368,15.52873563,1.150436782,125.3356322,435,6755,Cluster 1,713,2.180161448,,,
"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",203.4626866,9.417910448,1.235671642,127.6268657,67,631,Cluster 19,525,1.605308219,,,
"Mayfair, Hillbrook, Mahaning Heights",125.5405405,9.081081081,1.027027027,169.3243243,37,336,Cluster 30,548,1.675636008,,,
"Near Southeast, Navy Yard",296.5614035,6.736842105,0.753333333,114.6491228,57,384,Cluster 27,292,0.892857143,,,
"North Cleveland Park, Forest Hills, Van Ness",226.4189189,7.810810811,0.663918919,106.472973,74,578,Cluster 12,180,0.550391389,,,
"North Michigan Park, Michigan Park, University Heights",128,17.3956044,1.708131868,160.9010989,91,1583,Cluster 20,355,1.085494129,,,
"River Terrace, Benning, Greenway, Dupont Park",160.5185185,19.14814815,1.181111111,240.037037,27,517,Cluster 32,828,2.531800391,,,
"Shaw, Logan Circle",266.2867925,24.45283019,1.710018868,135.7207547,530,12960,Cluster 7,1169,3.574486301,,,
"Sheridan, Barry Farm, Buena Vista",206.12,10.24,1.0472,213.48,25,256,Cluster 37,406,1.241438356,,,
"Southwest Employment Area, Southwest,Waterfront, Fort McNair, Buzzard Point",313.2440476,15.33333333,1.27,141.8571429,168,2576,Cluster 9,688,2.1037182,,,
"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",409.8924731,10.34408602,0.622150538,134.0860215,93,962,Cluster 13,197,0.602372798,,,
"Takoma, Brightwood, Manor Park",137.8316832,15.9009901,1.106633663,176.3168317,101,1606,Cluster 17,891,2.724437378,,,
"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",180.1764706,18.39705882,1.441176471,245.7941176,68,1251,Cluster 34,814,2.488992172,,,
"Union Station, Stanton Park, Kingman Park",323.9606299,21.88188976,1.732454068,123.4435696,762,16674,Cluster 25,1918,5.864726027,,,
"West End, Foggy Bottom, GWU",196.3975904,18.57028112,1.412168675,163.7550201,249,4624,Cluster 5,547,1.672578278,,,
"Woodland,Fort Stanton, Garfield Heights, Knox Hill",256.625,15.75,4.07875,186.125,8,126,Cluster 36,299,0.914261252,,,
"Woodridge, Fort Lincoln, Gateway",169.5689655,15.65517241,1.407413793,180.5862069,58,908,Cluster 24,589,1.801002935,,,
